State,Country,Time,Exports
Alaska,Greenland,2016,"7,950"
Alaska,Canada,2016,"484,844,595"
Alaska,Mexico,2016,"36,444,780"
Alaska,Guatemala,2016,"672,915"
Alaska,Belize,2016,"29,340"
Alaska,El Salvador,2016,"67,140"
Alaska,Honduras,2016,"47,169"
Alaska,Nicaragua,2016,"20,503,225"
Alaska,Costa Rica,2016,"203,405"
Alaska,Panama,2016,"75,390"
Alaska,Bermuda,2016,"98,364"
Alaska,Bahamas,2016,"100,716"
Alaska,Jamaica,2016,"682,383"
Alaska,Cayman Islands,2016,"46,710"
Alaska,Haiti,2016,"3,500"
Alaska,Dominican Republic,2016,"186,929"
Alaska,Anguilla,2016,"25,000"
Alaska,British Virgin Islands,2016,"783,337"
Alaska,St Kitts And Nevis,2016,"603,239"
Alaska,Antigua And Barbuda,2016,"5,035"
Alaska,St Lucia,2016,"18,472"
Alaska,Barbados,2016,"22,135"
Alaska,Trinidad And Tobago,2016,"404,884"
Alaska,Sint Maarten,2016,"436,290"
Alaska,Curacao,2016,"45,756"
Alaska,Aruba,2016,"83,374"
Alaska,Colombia,2016,"515,654"
Alaska,Venezuela,2016,"282,290"
Alaska,Guyana,2016,"9,568"
Alaska,Ecuador,2016,"129,368"
Alaska,Peru,2016,"459,860"
Alaska,Bolivia,2016,"12,970"
Alaska,Chile,2016,"4,272,091"
Alaska,Brazil,2016,"2,291,416"
Alaska,Uruguay,2016,"60,480"
Alaska,Argentina,2016,"137,737"
Alaska,Iceland,2016,"276,792"
Alaska,Sweden,2016,"557,000"
Alaska,Norway,2016,"2,959,197"
Alaska,Finland,2016,"44,591,162"
Alaska,Denmark,2016,"10,378,408"
Alaska,United Kingdom,2016,"25,652,756"
Alaska,Ireland,2016,"35,533"
Alaska,Netherlands,2016,"134,561,096"
Alaska,Belgium,2016,"37,354,083"
Alaska,France,2016,"54,904,040"
Alaska,Germany,2016,"256,920,827"
Alaska,Austria,2016,"112,381"
Alaska,Czech Republic,2016,"5,325"
Alaska,Hungary,2016,"41,001"
Alaska,Switzerland,2016,"2,023,432"
Alaska,Estonia,2016,"1,093,635"
Alaska,Lithuania,2016,"13,659,142"
Alaska,Poland,2016,"2,445,383"
Alaska,Russia,2016,"679,372"
Alaska,Belarus,2016,"186,601"
Alaska,Ukraine,2016,"11,170,737"
Alaska,Armenia,2016,"110,500"
Alaska,Georgia,2016,"287,836"
Alaska,Kazakhstan,2016,"12,248"
Alaska,Moldova,2016,"112,597"
Alaska,Turkmenistan,2016,"191,328"
Alaska,Spain,2016,"151,735,778"
Alaska,Portugal,2016,"5,024,656"
Alaska,Italy,2016,"30,985,320"
Alaska,Serbia,2016,"25,200"
Alaska,Greece,2016,"155,188"
Alaska,Romania,2016,"366,987"
Alaska,Turkey,2016,"169,304"
Alaska,Iraq,2016,"43,917"
Alaska,Israel,2016,"5,318,004"
Alaska,Kuwait,2016,"1,184,057"
Alaska,Saudi Arabia,2016,"619,807"
Alaska,Qatar,2016,"1,165,960"
Alaska,United Arab Emirates,2016,"2,821,027"
Alaska,Oman,2016,"174,367"
Alaska,Bahrain,2016,"7,290"
Alaska,Afghanistan,2016,"2,667"
Alaska,India,2016,"2,026,284"
Alaska,Pakistan,2016,"233,163"
Alaska,Bangladesh,2016,"2,618"
Alaska,Burma,2016,"93,298"
Alaska,Thailand,2016,"26,706,596"
Alaska,Vietnam,2016,"12,747,396"
Alaska,Cambodia,2016,"7,500"
Alaska,Malaysia,2016,"84,667,446"
Alaska,Singapore,2016,"8,667,338"
Alaska,Indonesia,2016,"8,511,891"
Alaska,Brunei,2016,"2,653"
Alaska,Philippines,2016,"130,369"
Alaska,Macau,2016,"15,835"
Alaska,China,2016,"1,184,207,360"
Alaska,Korea, South,2016,"731,631,388"
Alaska,Hong Kong,2016,"12,703,440"
Alaska,Taiwan,2016,"29,225,622"
Alaska,Japan,2016,"815,624,578"
Alaska,Australia,2016,"73,551,173"
Alaska,Papua New Guinea,2016,"13,885"
Alaska,New Zealand,2016,"1,613,913"
Alaska,Marshall Islands,2016,"73,499"
Alaska,Morocco,2016,"110,619"
Alaska,Algeria,2016,"148,391"
Alaska,Tunisia,2016,"20,552"
Alaska,Egypt,2016,"196,605"
Alaska,Cameroon,2016,"29,439"
Alaska,Cote D'ivoire,2016,"119,288"
