State,Country,Time,Imports
Georgia,Greenland,2016,"9,000"
Georgia,Canada,2016,"4,005,405,243"
Georgia,Mexico,2016,"6,463,086,794"
Georgia,Guatemala,2016,"131,137,550"
Georgia,Belize,2016,"243,710"
Georgia,El Salvador,2016,"123,274,701"
Georgia,Honduras,2016,"304,076,910"
Georgia,Nicaragua,2016,"72,062,428"
Georgia,Costa Rica,2016,"58,262,131"
Georgia,Panama,2016,"21,007,354"
Georgia,Bermuda,2016,"417,989"
Georgia,Bahamas,2016,"1,335,944"
Georgia,Jamaica,2016,"8,850,897"
Georgia,Turks And Caicos Islands,2016,"312,228"
Georgia,Cayman Islands,2016,"119,971"
Georgia,Haiti,2016,"102,884,413"
Georgia,Dominican Republic,2016,"192,505,111"
Georgia,Anguilla,2016,"9,999"
Georgia,British Virgin Islands,2016,"2,878,500"
Georgia,St Kitts And Nevis,2016,"140,573"
Georgia,Antigua And Barbuda,2016,"217,583"
Georgia,Dominica,2016,"7,249"
Georgia,St Lucia,2016,"124,450"
Georgia,St Vincent And The Grenadines,2016,"299,223"
Georgia,Grenada,2016,"106,594"
Georgia,Barbados,2016,"343,008"
Georgia,Trinidad And Tobago,2016,"39,396,722"
Georgia,Sint Maarten,2016,"28,079"
Georgia,Curacao,2016,"127,319"
Georgia,Aruba,2016,"178,930"
Georgia,Guadeloupe,2016,"39,292"
Georgia,Martinique,2016,"32,500"
Georgia,Colombia,2016,"136,540,629"
Georgia,Venezuela,2016,"17,074,136"
Georgia,Guyana,2016,"12,249,816"
Georgia,Suriname,2016,"34,500"
Georgia,Ecuador,2016,"88,824,082"
Georgia,Peru,2016,"117,894,585"
Georgia,Bolivia,2016,"493,909"
Georgia,Chile,2016,"1,227,481,816"
Georgia,Brazil,2016,"623,675,076"
Georgia,Paraguay,2016,"9,923,299"
Georgia,Uruguay,2016,"3,178,374"
Georgia,Argentina,2016,"285,187,760"
Georgia,Falkland Islands (Islas Malvinas),2016,"5,957"
Georgia,Iceland,2016,"25,254,647"
