commodity,state,time,country,total_exports_value
331 Primary Metal Mfg,Ohio,2016,World Total,"2,295,994,728"
331 Primary Metal Mfg,Oklahoma,2016,World Total,"110,487,536"
331 Primary Metal Mfg,Oregon,2016,World Total,"322,625,375"
331 Primary Metal Mfg,Pennsylvania,2016,World Total,"2,810,953,598"
331 Primary Metal Mfg,Puerto Rico,2016,World Total,"99,881,415"
331 Primary Metal Mfg,Rhode Island,2016,World Total,"258,524,197"
331 Primary Metal Mfg,South Carolina,2016,World Total,"266,861,400"
331 Primary Metal Mfg,South Dakota,2016,World Total,"9,253,801"
331 Primary Metal Mfg,Tennessee,2016,World Total,"736,682,761"
331 Primary Metal Mfg,Texas,2016,World Total,"4,640,404,887"
331 Primary Metal Mfg,Utah,2016,World Total,"4,854,361,061"
331 Primary Metal Mfg,Virginia,2016,World Total,"357,109,326"
331 Primary Metal Mfg,Vermont,2016,World Total,"10,855,517"
331 Primary Metal Mfg,Washington,2016,World Total,"952,056,772"
331 Primary Metal Mfg,Wisconsin,2016,World Total,"274,395,629"
331 Primary Metal Mfg,West Virginia,2016,World Total,"271,585,818"
331 Primary Metal Mfg,Wyoming,2016,World Total,"793,942"
332 Fabricated Metal Products, Nesoi,Alaska,2016,World Total,"5,282,083"
332 Fabricated Metal Products, Nesoi,Alabama,2016,World Total,"400,814,695"
332 Fabricated Metal Products, Nesoi,Arkansas,2016,World Total,"252,490,832"
332 Fabricated Metal Products, Nesoi,Arizona,2016,World Total,"1,120,475,336"
332 Fabricated Metal Products, Nesoi,California,2016,World Total,"4,051,325,012"
332 Fabricated Metal Products, Nesoi,Colorado,2016,World Total,"348,960,385"
332 Fabricated Metal Products, Nesoi,Connecticut,2016,World Total,"790,328,919"
332 Fabricated Metal Products, Nesoi,Dist of Columbia,2016,World Total,"90,523,752"
332 Fabricated Metal Products, Nesoi,Delaware,2016,World Total,"25,369,837"
332 Fabricated Metal Products, Nesoi,Florida,2016,World Total,"1,634,507,785"
332 Fabricated Metal Products, Nesoi,Georgia,2016,World Total,"1,078,506,737"
332 Fabricated Metal Products, Nesoi,Hawaii,2016,World Total,"11,874,922"
332 Fabricated Metal Products, Nesoi,Iowa,2016,World Total,"281,542,351"
332 Fabricated Metal Products, Nesoi,Idaho,2016,World Total,"100,478,473"
332 Fabricated Metal Products, Nesoi,Illinois,2016,World Total,"3,176,748,497"
332 Fabricated Metal Products, Nesoi,Indiana,2016,World Total,"922,017,716"
332 Fabricated Metal Products, Nesoi,Kansas,2016,World Total,"279,024,745"
332 Fabricated Metal Products, Nesoi,Kentucky,2016,World Total,"611,195,902"
332 Fabricated Metal Products, Nesoi,Louisiana,2016,World Total,"445,626,384"
332 Fabricated Metal Products, Nesoi,Massachusetts,2016,World Total,"618,535,476"
332 Fabricated Metal Products, Nesoi,Maryland,2016,World Total,"301,595,567"
332 Fabricated Metal Products, Nesoi,Maine,2016,World Total,"74,431,056"
332 Fabricated Metal Products, Nesoi,Michigan,2016,World Total,"2,389,228,049"
332 Fabricated Metal Products, Nesoi,Minnesota,2016,World Total,"717,228,412"
332 Fabricated Metal Products, Nesoi,Missouri,2016,World Total,"531,154,019"
332 Fabricated Metal Products, Nesoi,Mississippi,2016,World Total,"380,388,637"
332 Fabricated Metal Products, Nesoi,Montana,2016,World Total,"9,945,658"
332 Fabricated Metal Products, Nesoi,North Carolina,2016,World Total,"870,449,285"
332 Fabricated Metal Products, Nesoi,North Dakota,2016,World Total,"15,897,538"
332 Fabricated Metal Products, Nesoi,Nebraska,2016,World Total,"133,409,883"
332 Fabricated Metal Products, Nesoi,New Hampshire,2016,World Total,"253,839,300"
332 Fabricated Metal Products, Nesoi,New Jersey,2016,World Total,"727,716,848"
332 Fabricated Metal Products, Nesoi,New Mexico,2016,World Total,"266,321,129"
332 Fabricated Metal Products, Nesoi,Nevada,2016,World Total,"140,045,606"
332 Fabricated Metal Products, Nesoi,New York,2016,World Total,"1,741,670,066"
332 Fabricated Metal Products, Nesoi,Ohio,2016,World Total,"2,581,078,500"
332 Fabricated Metal Products, Nesoi,Oklahoma,2016,World Total,"641,580,812"
332 Fabricated Metal Products, Nesoi,Oregon,2016,World Total,"325,224,396"
332 Fabricated Metal Products, Nesoi,Pennsylvania,2016,World Total,"1,635,900,219"
332 Fabricated Metal Products, Nesoi,Puerto Rico,2016,World Total,"36,842,397"
332 Fabricated Metal Products, Nesoi,Rhode Island,2016,World Total,"76,896,584"
332 Fabricated Metal Products, Nesoi,South Carolina,2016,World Total,"1,317,181,480"
332 Fabricated Metal Products, Nesoi,South Dakota,2016,World Total,"22,883,455"
332 Fabricated Metal Products, Nesoi,Tennessee,2016,World Total,"986,792,503"
332 Fabricated Metal Products, Nesoi,Texas,2016,World Total,"7,717,615,512"
332 Fabricated Metal Products, Nesoi,Utah,2016,World Total,"174,185,647"
332 Fabricated Metal Products, Nesoi,Virginia,2016,World Total,"522,087,871"
332 Fabricated Metal Products, Nesoi,US Virgin Islands,2016,World Total,"217,673"
332 Fabricated Metal Products, Nesoi,Vermont,2016,World Total,"45,276,399"
332 Fabricated Metal Products, Nesoi,Washington,2016,World Total,"712,111,049"
332 Fabricated Metal Products, Nesoi,Wisconsin,2016,World Total,"993,847,770"
332 Fabricated Metal Products, Nesoi,West Virginia,2016,World Total,"37,585,630"
333 Machinery, Except Electrical,Arizona,2016,World Total,"1,370,326,296"
332 Fabricated Metal Products, Nesoi,Wyoming,2016,World Total,"15,144,472"
333 Machinery, Except Electrical,Alaska,2016,World Total,"19,953,177"
333 Machinery, Except Electrical,Alabama,2016,World Total,"913,012,705"
333 Machinery, Except Electrical,Arkansas,2016,World Total,"438,799,536"
333 Machinery, Except Electrical,California,2016,World Total,"14,364,644,288"
333 Machinery, Except Electrical,Colorado,2016,World Total,"773,749,059"
333 Machinery, Except Electrical,Connecticut,2016,World Total,"1,769,667,520"
333 Machinery, Except Electrical,Dist of Columbia,2016,World Total,"13,242,151"
333 Machinery, Except Electrical,Delaware,2016,World Total,"251,588,549"
333 Machinery, Except Electrical,Florida,2016,World Total,"4,908,394,495"
333 Machinery, Except Electrical,Georgia,2016,World Total,"4,484,617,749"
333 Machinery, Except Electrical,Hawaii,2016,World Total,"15,516,613"
333 Machinery, Except Electrical,Iowa,2016,World Total,"2,536,915,434"
333 Machinery, Except Electrical,Idaho,2016,World Total,"205,472,700"
333 Machinery, Except Electrical,Illinois,2016,World Total,"9,738,840,483"
333 Machinery, Except Electrical,Indiana,2016,World Total,"3,807,303,628"
333 Machinery, Except Electrical,Kansas,2016,World Total,"949,551,876"
333 Machinery, Except Electrical,Kentucky,2016,World Total,"1,531,337,202"
333 Machinery, Except Electrical,Louisiana,2016,World Total,"919,767,130"
333 Machinery, Except Electrical,Massachusetts,2016,World Total,"3,324,360,579"
333 Machinery, Except Electrical,Maryland,2016,World Total,"963,740,648"
333 Machinery, Except Electrical,Maine,2016,World Total,"111,858,751"
333 Machinery, Except Electrical,Michigan,2016,World Total,"4,858,394,435"
333 Machinery, Except Electrical,Minnesota,2016,World Total,"2,834,924,732"
333 Machinery, Except Electrical,Missouri,2016,World Total,"1,290,532,540"
333 Machinery, Except Electrical,Mississippi,2016,World Total,"611,750,105"
333 Machinery, Except Electrical,Montana,2016,World Total,"144,871,661"
333 Machinery, Except Electrical,North Carolina,2016,World Total,"3,349,905,866"
333 Machinery, Except Electrical,North Dakota,2016,World Total,"689,353,060"
333 Machinery, Except Electrical,Nebraska,2016,World Total,"845,912,218"
333 Machinery, Except Electrical,New Hampshire,2016,World Total,"722,131,839"
333 Machinery, Except Electrical,New Jersey,2016,World Total,"1,463,038,232"
333 Machinery, Except Electrical,New Mexico,2016,World Total,"115,550,972"
333 Machinery, Except Electrical,Nevada,2016,World Total,"256,413,049"
333 Machinery, Except Electrical,New York,2016,World Total,"4,552,868,609"
333 Machinery, Except Electrical,Ohio,2016,World Total,"5,961,674,825"
333 Machinery, Except Electrical,Oklahoma,2016,World Total,"992,916,561"
333 Machinery, Except Electrical,Oregon,2016,World Total,"2,745,077,526"
333 Machinery, Except Electrical,Pennsylvania,2016,World Total,"3,669,100,207"
333 Machinery, Except Electrical,Puerto Rico,2016,World Total,"178,348,276"
333 Machinery, Except Electrical,Rhode Island,2016,World Total,"143,448,453"
333 Machinery, Except Electrical,Texas,2016,World Total,"20,083,503,564"
333 Machinery, Except Electrical,South Carolina,2016,World Total,"2,329,690,087"
333 Machinery, Except Electrical,South Dakota,2016,World Total,"248,668,473"
333 Machinery, Except Electrical,Tennessee,2016,World Total,"2,735,567,006"
333 Machinery, Except Electrical,Utah,2016,World Total,"497,872,240"
333 Machinery, Except Electrical,Virginia,2016,World Total,"1,468,617,447"
333 Machinery, Except Electrical,US Virgin Islands,2016,World Total,"284,729"
333 Machinery, Except Electrical,Vermont,2016,World Total,"141,550,649"
333 Machinery, Except Electrical,Washington,2016,World Total,"1,936,741,536"
333 Machinery, Except Electrical,Wisconsin,2016,World Total,"4,091,228,002"
333 Machinery, Except Electrical,West Virginia,2016,World Total,"676,175,363"
333 Machinery, Except Electrical,Wyoming,2016,World Total,"54,444,182"
334 Computer & Electronic Products,Arizona,2016,World Total,"5,599,553,514"
334 Computer & Electronic Products,Alaska,2016,World Total,"21,396,653"
334 Computer & Electronic Products,Alabama,2016,World Total,"555,547,352"
334 Computer & Electronic Products,Arkansas,2016,World Total,"284,949,252"
334 Computer & Electronic Products,California,2016,World Total,"42,220,154,722"
334 Computer & Electronic Products,Colorado,2016,World Total,"1,910,805,445"
334 Computer & Electronic Products,Connecticut,2016,World Total,"1,108,703,730"
334 Computer & Electronic Products,Dist of Columbia,2016,World Total,"43,324,568"
334 Computer & Electronic Products,Delaware,2016,World Total,"496,536,126"
334 Computer & Electronic Products,Florida,2016,World Total,"12,032,560,430"
334 Computer & Electronic Products,Georgia,2016,World Total,"2,401,870,102"
334 Computer & Electronic Products,Hawaii,2016,World Total,"39,400,098"
334 Computer & Electronic Products,Iowa,2016,World Total,"593,278,296"
334 Computer & Electronic Products,Idaho,2016,World Total,"2,247,931,575"
334 Computer & Electronic Products,Illinois,2016,World Total,"7,694,433,959"
334 Computer & Electronic Products,Indiana,2016,World Total,"1,561,759,023"
334 Computer & Electronic Products,Kansas,2016,World Total,"673,395,389"
334 Computer & Electronic Products,Kentucky,2016,World Total,"1,571,280,928"
334 Computer & Electronic Products,Louisiana,2016,World Total,"175,019,354"
334 Computer & Electronic Products,Massachusetts,2016,World Total,"6,954,970,679"
334 Computer & Electronic Products,Maryland,2016,World Total,"1,558,156,095"
334 Computer & Electronic Products,Maine,2016,World Total,"327,580,994"
334 Computer & Electronic Products,Michigan,2016,World Total,"3,100,196,806"
334 Computer & Electronic Products,Minnesota,2016,World Total,"3,358,724,000"
334 Computer & Electronic Products,Missouri,2016,World Total,"635,759,328"
334 Computer & Electronic Products,Mississippi,2016,World Total,"889,914,802"
334 Computer & Electronic Products,Montana,2016,World Total,"30,915,212"
334 Computer & Electronic Products,North Carolina,2016,World Total,"2,438,227,569"
334 Computer & Electronic Products,North Dakota,2016,World Total,"45,837,182"
