commodity,state,time,country,total_import_values
111 Agricultural Products,Alaska,2016,World Total,"1,571,568"
111 Agricultural Products,Alabama,2016,World Total,"24,414,819"
111 Agricultural Products,Arkansas,2016,World Total,"51,061,667"
111 Agricultural Products,Arizona,2016,World Total,"2,461,470,432"
111 Agricultural Products,California,2016,World Total,"8,067,396,733"
111 Agricultural Products,Colorado,2016,World Total,"103,302,708"
111 Agricultural Products,Connecticut,2016,World Total,"218,694,889"
111 Agricultural Products,Dist of Columbia,2016,World Total,"2,464,550"
111 Agricultural Products,Delaware,2016,World Total,"859,594,854"
111 Agricultural Products,Florida,2016,World Total,"4,138,438,530"
111 Agricultural Products,Georgia,2016,World Total,"206,305,495"
111 Agricultural Products,Hawaii,2016,World Total,"18,751,341"
111 Agricultural Products,Iowa,2016,World Total,"226,147,402"
111 Agricultural Products,Idaho,2016,World Total,"110,811,043"
111 Agricultural Products,Illinois,2016,World Total,"427,389,744"
111 Agricultural Products,Indiana,2016,World Total,"93,323,541"
111 Agricultural Products,Kansas,2016,World Total,"27,023,044"
111 Agricultural Products,Kentucky,2016,World Total,"103,709,038"
111 Agricultural Products,Louisiana,2016,World Total,"762,996,514"
111 Agricultural Products,Massachusetts,2016,World Total,"209,912,751"
111 Agricultural Products,Maryland,2016,World Total,"721,328,323"
111 Agricultural Products,Maine,2016,World Total,"54,010,902"
111 Agricultural Products,Michigan,2016,World Total,"802,909,575"
111 Agricultural Products,Minnesota,2016,World Total,"480,116,301"
111 Agricultural Products,Missouri,2016,World Total,"156,202,813"
111 Agricultural Products,Mississippi,2016,World Total,"214,809,390"
111 Agricultural Products,Montana,2016,World Total,"51,607,383"
111 Agricultural Products,North Carolina,2016,World Total,"709,367,460"
111 Agricultural Products,North Dakota,2016,World Total,"332,190,352"
111 Agricultural Products,Nebraska,2016,World Total,"52,068,577"
111 Agricultural Products,New Hampshire,2016,World Total,"33,073,081"
111 Agricultural Products,New Jersey,2016,World Total,"2,719,380,898"
111 Agricultural Products,New Mexico,2016,World Total,"94,808,062"
111 Agricultural Products,Nevada,2016,World Total,"12,553,819"
111 Agricultural Products,New York,2016,World Total,"1,813,290,798"
111 Agricultural Products,Ohio,2016,World Total,"261,097,473"
111 Agricultural Products,Oklahoma,2016,World Total,"7,832,266"
111 Agricultural Products,Oregon,2016,World Total,"237,009,733"
111 Agricultural Products,Pennsylvania,2016,World Total,"1,344,747,900"
111 Agricultural Products,Puerto Rico,2016,World Total,"154,146,728"
111 Agricultural Products,Rhode Island,2016,World Total,"16,712,318"
111 Agricultural Products,South Carolina,2016,World Total,"367,058,695"
111 Agricultural Products,South Dakota,2016,World Total,"11,949,665"
111 Agricultural Products,Tennessee,2016,World Total,"48,957,999"
111 Agricultural Products,Texas,2016,World Total,"4,002,503,606"
111 Agricultural Products,Utah,2016,World Total,"51,216,678"
111 Agricultural Products,Virginia,2016,World Total,"848,329,812"
111 Agricultural Products,US Virgin Islands,2016,World Total,"321,615"
111 Agricultural Products,Vermont,2016,World Total,"81,585,669"
111 Agricultural Products,Washington,2016,World Total,"1,018,405,257"
111 Agricultural Products,Wisconsin,2016,World Total,"183,137,909"
111 Agricultural Products,West Virginia,2016,World Total,"269,312"
111 Agricultural Products,Wyoming,2016,World Total,"2,144,935"
112 Livestock & Livestock Products,Alaska,2016,World Total,"864,613"
112 Livestock & Livestock Products,Alabama,2016,World Total,"3,774,395"
112 Livestock & Livestock Products,Arkansas,2016,World Total,"3,456,317"
112 Livestock & Livestock Products,Arizona,2016,World Total,"147,492,185"
112 Livestock & Livestock Products,California,2016,World Total,"656,076,498"
112 Livestock & Livestock Products,Colorado,2016,World Total,"88,836,569"
112 Livestock & Livestock Products,Connecticut,2016,World Total,"6,447,582"
112 Livestock & Livestock Products,Dist of Columbia,2016,World Total,"15,817,618"
112 Livestock & Livestock Products,Delaware,2016,World Total,"210,687"
112 Livestock & Livestock Products,Florida,2016,World Total,"985,687,415"
112 Livestock & Livestock Products,Georgia,2016,World Total,"102,700,020"
112 Livestock & Livestock Products,Hawaii,2016,World Total,"7,553,268"
112 Livestock & Livestock Products,Iowa,2016,World Total,"170,146,366"
112 Livestock & Livestock Products,Idaho,2016,World Total,"14,597,773"
112 Livestock & Livestock Products,Illinois,2016,World Total,"93,723,579"
112 Livestock & Livestock Products,Indiana,2016,World Total,"17,138,165"
112 Livestock & Livestock Products,Kansas,2016,World Total,"31,670,215"
112 Livestock & Livestock Products,Kentucky,2016,World Total,"57,469,548"
112 Livestock & Livestock Products,Louisiana,2016,World Total,"2,736,842"
112 Livestock & Livestock Products,Massachusetts,2016,World Total,"269,323,116"
112 Livestock & Livestock Products,Maryland,2016,World Total,"39,864,857"
112 Livestock & Livestock Products,Maine,2016,World Total,"49,898,187"
112 Livestock & Livestock Products,Michigan,2016,World Total,"91,386,688"
112 Livestock & Livestock Products,Minnesota,2016,World Total,"194,824,841"
112 Livestock & Livestock Products,Missouri,2016,World Total,"10,896,422"
112 Livestock & Livestock Products,Mississippi,2016,World Total,"619,995"
112 Livestock & Livestock Products,Montana,2016,World Total,"8,251,779"
112 Livestock & Livestock Products,North Carolina,2016,World Total,"60,855,839"
112 Livestock & Livestock Products,North Dakota,2016,World Total,"14,843,685"
112 Livestock & Livestock Products,Nebraska,2016,World Total,"106,794,682"
112 Livestock & Livestock Products,New Hampshire,2016,World Total,"4,066,846"
112 Livestock & Livestock Products,New Jersey,2016,World Total,"196,175,974"
112 Livestock & Livestock Products,New Mexico,2016,World Total,"37,742,448"
112 Livestock & Livestock Products,Nevada,2016,World Total,"14,023,827"
112 Livestock & Livestock Products,New York,2016,World Total,"492,643,453"
112 Livestock & Livestock Products,Ohio,2016,World Total,"41,163,861"
112 Livestock & Livestock Products,Oklahoma,2016,World Total,"2,960,368"
112 Livestock & Livestock Products,Oregon,2016,World Total,"48,066,400"
112 Livestock & Livestock Products,Pennsylvania,2016,World Total,"297,056,551"
112 Livestock & Livestock Products,Puerto Rico,2016,World Total,"2,251,807"
112 Livestock & Livestock Products,Rhode Island,2016,World Total,"1,049,506"
112 Livestock & Livestock Products,South Carolina,2016,World Total,"10,856,424"
112 Livestock & Livestock Products,South Dakota,2016,World Total,"32,939,289"
112 Livestock & Livestock Products,Tennessee,2016,World Total,"13,491,030"
112 Livestock & Livestock Products,Texas,2016,World Total,"523,934,114"
112 Livestock & Livestock Products,Utah,2016,World Total,"166,583,053"
112 Livestock & Livestock Products,Virginia,2016,World Total,"9,112,194"
112 Livestock & Livestock Products,Vermont,2016,World Total,"4,404,445"
112 Livestock & Livestock Products,Washington,2016,World Total,"495,985,128"
112 Livestock & Livestock Products,Wisconsin,2016,World Total,"165,760,464"
112 Livestock & Livestock Products,West Virginia,2016,World Total,"1,095,907"
112 Livestock & Livestock Products,Wyoming,2016,World Total,"2,566,101"
113 Forestry Products, Nesoi,Alaska,2016,World Total,"672,568"
113 Forestry Products, Nesoi,Alabama,2016,World Total,"20,283,528"
113 Forestry Products, Nesoi,Arkansas,2016,World Total,"5,230,780"
113 Forestry Products, Nesoi,Arizona,2016,World Total,"1,468,123"
113 Forestry Products, Nesoi,California,2016,World Total,"200,594,780"
113 Forestry Products, Nesoi,Colorado,2016,World Total,"276,493"
113 Forestry Products, Nesoi,Connecticut,2016,World Total,"3,954,769"
113 Forestry Products, Nesoi,Dist of Columbia,2016,World Total,"59,405"
113 Forestry Products, Nesoi,Delaware,2016,World Total,"5,257,556"
113 Forestry Products, Nesoi,Florida,2016,World Total,"20,810,766"
113 Forestry Products, Nesoi,Georgia,2016,World Total,"103,871,733"
113 Forestry Products, Nesoi,Hawaii,2016,World Total,"103,935"
113 Forestry Products, Nesoi,Iowa,2016,World Total,"482,508"
113 Forestry Products, Nesoi,Idaho,2016,World Total,"6,844,515"
113 Forestry Products, Nesoi,Illinois,2016,World Total,"148,395,613"
113 Forestry Products, Nesoi,Indiana,2016,World Total,"28,225,063"
113 Forestry Products, Nesoi,Kansas,2016,World Total,"1,139,433"
113 Forestry Products, Nesoi,Kentucky,2016,World Total,"3,717,451"
113 Forestry Products, Nesoi,Louisiana,2016,World Total,"183,962,691"
113 Forestry Products, Nesoi,Massachusetts,2016,World Total,"16,588,395"
113 Forestry Products, Nesoi,Maryland,2016,World Total,"24,535,252"
113 Forestry Products, Nesoi,Maine,2016,World Total,"7,295,120"
113 Forestry Products, Nesoi,Michigan,2016,World Total,"15,670,908"
113 Forestry Products, Nesoi,Minnesota,2016,World Total,"24,977,649"
113 Forestry Products, Nesoi,Missouri,2016,World Total,"11,157,342"
113 Forestry Products, Nesoi,Mississippi,2016,World Total,"11,993,025"
113 Forestry Products, Nesoi,Montana,2016,World Total,"1,236,197"
113 Forestry Products, Nesoi,North Carolina,2016,World Total,"110,969,049"
113 Forestry Products, Nesoi,North Dakota,2016,World Total,"566,801"
113 Forestry Products, Nesoi,Nebraska,2016,World Total,"3,269,278"
113 Forestry Products, Nesoi,New Hampshire,2016,World Total,"135,546"
113 Forestry Products, Nesoi,New Jersey,2016,World Total,"289,413,191"
113 Forestry Products, Nesoi,New Mexico,2016,World Total,"253,349"
113 Forestry Products, Nesoi,Nevada,2016,World Total,"846,980"
113 Forestry Products, Nesoi,New York,2016,World Total,"76,084,235"
113 Forestry Products, Nesoi,Ohio,2016,World Total,"23,264,460"
113 Forestry Products, Nesoi,Oklahoma,2016,World Total,"32,832,048"
113 Forestry Products, Nesoi,Oregon,2016,World Total,"21,237,209"
113 Forestry Products, Nesoi,Pennsylvania,2016,World Total,"8,191,877"
113 Forestry Products, Nesoi,Puerto Rico,2016,World Total,"508,738"
113 Forestry Products, Nesoi,Rhode Island,2016,World Total,"404,031"
113 Forestry Products, Nesoi,South Carolina,2016,World Total,"258,620,723"
113 Forestry Products, Nesoi,South Dakota,2016,World Total,"709,222"
113 Forestry Products, Nesoi,Tennessee,2016,World Total,"293,785,071"
113 Forestry Products, Nesoi,Texas,2016,World Total,"25,652,647"
113 Forestry Products, Nesoi,Utah,2016,World Total,"29,354,614"
113 Forestry Products, Nesoi,Virginia,2016,World Total,"130,945,893"
113 Forestry Products, Nesoi,Vermont,2016,World Total,"1,506,022"
113 Forestry Products, Nesoi,Washington,2016,World Total,"53,283,098"
113 Forestry Products, Nesoi,Wisconsin,2016,World Total,"10,516,687"
113 Forestry Products, Nesoi,West Virginia,2016,World Total,"342,204"
113 Forestry Products, Nesoi,Wyoming,2016,World Total,"1,026,416"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Alaska,2016,World Total,"5,975,723"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Alabama,2016,World Total,"2,511,424"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Arkansas,2016,World Total,"11,375,547"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Arizona,2016,World Total,"55,718,088"
114 Fish, Fresh/chilled/frozen & Other Marine Products,California,2016,World Total,"3,777,177,056"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Colorado,2016,World Total,"13,033,777"
