state,id,time,imports,exports,total_trade_activity,trade_balance
Alabama,AL,2016,22.1,20.5,42.6,-1.6
Alaska,AK,2016,2.1,4.4,6.5,2.3
Arizona,AZ,2016,19.6,22,41.6,2.4
Arkansas,AR,2016,7.8,5.7,13.5,-2.1
California,CA,2016,410.1,163.3,573.4,-246.8
Colorado,CO,2016,12.2,7.6,19.8,-4.6
Connecticut,CT,2016,21.3,14.4,35.7,-6.9
Delaware,DE,2016,7.6,4.5,12.1,-3.1
Dist of Columbia,DC,2016,0.5,1.3,1.8,0.8
Florida,FL,2016,73.6,52,125.6,-21.6
Georgia,GA,2016,86.2,35.7,121.9,-50.5
Hawaii,HI,2016,2.9,0.8,3.7,-2.1
Idaho,ID,2016,4.5,4.9,9.4,0.4
Illinois,IL,2016,121.5,59.9,181.4,-61.6
Indiana,IN,2016,49.5,34.7,84.2,-14.8
Iowa,IA,2016,8.2,12.3,20.5,4.1
Kansas,KS,2016,11.1,10.2,21.3,-0.9
Kentucky,KY,2016,40,29.2,69.2,-10.8
Louisiana,LA,2016,32.4,48.4,80.8,16
Maine,ME,2016,3.4,2.9,6.3,-0.5
Maryland,MD,2016,30.7,9.7,40.4,-21
Massachusetts,MA,2016,33.8,25.9,59.7,-7.9
Michigan,MI,2016,134.9,54.8,189.7,-80.1
Minnesota,MN,2016,27,19.2,46.2,-7.8
Mississippi,MS,2016,13.9,10.5,24.4,-3.4
Missouri,MO,2016,17.2,13.9,31.1,-3.3
Montana,MT,2016,3.5,1.4,4.9,-2.1
Nebraska,NE,2016,3.6,6.4,10,2.8
Nevada,NV,2016,10.6,9.8,20.4,-0.8
New Hampshire,NH,2016,8.6,4.1,12.7,-4.5
New Jersey,NJ,2016,108,31.2,139.2,-76.8
New Mexico,NM,2016,2.3,3.6,5.9,1.3
New York,NY,2016,130.1,76.7,206.8,-53.4
North Carolina,NC,2016,47,30.2,77.2,-16.8
North Dakota,ND,2016,2.6,5.3,7.9,2.7
Ohio,OH,2016,64.2,49.3,113.5,-14.9
Oklahoma,OK,2016,8.5,5,13.5,-3.5
Oregon,OR,2016,17.6,21.8,39.4,4.2
Pennsylvania,PA,2016,77.1,36.5,113.6,-40.6
Puerto Rico,PR,2016,21.2,19.9,41.1,-1.3
Rhode Island,RI,2016,8.7,2.3,11,-6.4
South Carolina,SC,2016,36.1,31.3,67.4,-4.8
South Dakota,SD,2016,1,1.2,2.2,0.2
Tennessee,TN,2016,75.2,31.5,106.7,-43.7
Texas,TX,2016,229,231.5,460.5,2.5
Utah,UT,2016,13,12.1,25.1,-0.9
Vermont,VT,2016,3.7,3,6.7,-0.7
Virginia,VA,2016,25.9,16.3,42.2,-9.6
US Virgin Islands,VI,2016,0.6,0.3,0.9,-0.3
Washington,WA,2016,47,79.6,126.6,32.6
West Virginia,WV,2016,3.3,5,8.3,1.7
Wisconsin,WI,2016,22.4,21,43.4,-1.4
Wyoming,WY,2016,0.9,1.1,2,0.2
Alabama,AL,2017,23.6,21.8,45.4,-1.8
Alaska,AK,2017,1.7,4.9,6.6,3.2
Arizona,AZ,2017,20.5,20.9,41.4,0.4
Arkansas,AR,2017,9.3,6.2,15.5,-3.1
California,CA,2017,440.2,171.9,612.1,-268.3
Colorado,CO,2017,12.9,8.1,21,-4.8
Connecticut,CT,2017,18.7,14.8,33.5,-3.9
Delaware,DE,2017,7.7,4.6,12.3,-3.1
Dist of Columbia,DC,2017,0.5,1.5,2,1
Florida,FL,2017,75.3,54.9,130.2,-20.4
Georgia,GA,2017,91.3,37.2,128.5,-54.1
Hawaii,HI,2017,3.8,1,4.8,-2.8
Idaho,ID,2017,5.6,3.9,9.5,-1.7
Illinois,IL,2017,135.9,65.3,201.2,-70.6
Indiana,IN,2017,54.4,37.7,92.1,-16.7
Iowa,IA,2017,9.1,13.4,22.5,4.3
Kansas,KS,2017,10.8,11.2,22,0.4
Kentucky,KY,2017,47,30.9,77.9,-16.1
Louisiana,LA,2017,37.7,56.9,94.6,19.2
Maine,ME,2017,3.3,2.7,6,-0.6
Maryland,MD,2017,32.3,9.3,41.6,-23
Massachusetts,MA,2017,34.5,27.6,62.1,-6.9
Michigan,MI,2017,140,59.9,199.9,-80.1
Minnesota,MN,2017,29.6,20.7,50.3,-8.9
Mississippi,MS,2017,14.9,11,25.9,-3.9
Missouri,MO,2017,18.8,14.3,33.1,-4.5
Montana,MT,2017,4.3,1.6,5.9,-2.7
Nebraska,NE,2017,3.8,7.2,11,3.4
Nevada,NV,2017,12.3,12.2,24.5,-0.1
New Hampshire,NH,2017,11.3,5.1,16.4,-6.2
New Jersey,NJ,2017,112.6,34.3,146.9,-78.3
New Mexico,NM,2017,2.3,3.7,6,1.4
New York,NY,2017,126.6,78.2,204.8,-48.4
North Carolina,NC,2017,47.5,32.6,80.1,-14.9
North Dakota,ND,2017,2.7,6.1,8.8,3.4
Ohio,OH,2017,67.5,50.1,117.6,-17.4
Oklahoma,OK,2017,9.7,5.4,15.1,-4.3
Oregon,OR,2017,18.3,21.9,40.2,3.6
Pennsylvania,PA,2017,83.2,38.6,121.8,-44.6
